volgnr,pagina,voorletters,tussenvoegsel,achternaam,achtervoegsel,rol,vereniging
212,220,H.,,Rijnders,,,amsterdam
213,220,A.,,Roeloffs,,,amsterdam
214,220,J.,,Romijn,,,amsterdam
215,220,C.,,Santink,,,amsterdam
216,220,G.,,Schaap,,,amsterdam
217,220,J.,,Schaftenaar,,,amsterdam
218,220,J.H.,,Schaffer,,,amsterdam
219,220,L.,,Schouwenburg,,,amsterdam
220,220,,,Sieters,,,amsterdam
221,220,F.W.,,Snijders,,,amsterdam
222,220,R.,van der,Star,,,amsterdam
223,220,J.J.,,Steen,,,amsterdam
224,220,J.S.J.,,Steenbergh,,,amsterdam
225,220,H.J.,,Strootman,,,amsterdam
226,220,H.,,Stuhr,,,amsterdam
227,220,H.M.,,Swaab,,,amsterdam
228,220,H.G.,,Tak,,,amsterdam
229,220,P.A.,,Tak,,,amsterdam
230,220,J.J.,,Tieman,,,amsterdam
231,220,J.,,Vieijra,,,amsterdam
232,220,W.J.,,Viet,,,amsterdam
233,220,A.A.,,Vogel,,,amsterdam
234,220,J.,,Vogel,,,amsterdam
235,220,J.J.,,Wakker,,,amsterdam
236,220,J.,van,Wielink,,,amsterdam
237,220,J.P.,,Wiesener,,,amsterdam
238,220,J.H.,,Wissinga,,,amsterdam
239,220,J.,van,Zanten,,,amsterdam
240,220,J.P.,,Bladergroen,,President,rotterdam
241,220,A.,,Ingenool,,Vice-President,rotterdam
242,220,P.,van,Raansmidt,,Eerste secretaris,rotterdam
243,220,A.G.,van,Beugelink,,Tweede secretaris,rotterdam
244,220,H.,,Barteling,,,rotterdam
245,220,H.,,Beek,,,rotterdam
246,220,A.,,Becker,,,rotterdam
247,220,L.,,Carkerine,,,rotterdam
248,220,C.,,Conta,,,rotterdam
249,220,A.,,Feigeler,,,rotterdam
250,220,W.F.,,Frantzen,,,rotterdam
251,220,J.W.,,Geerdt,,,rotterdam
252,220,J.C.,,Greve,,,rotterdam
253,220,F.,,Haes,,,rotterdam
254,220,H.,de,Heide,,,rotterdam
255,220,J.,,Heijne,,,rotterdam
256,220,D.,van,Herwaarden,,,rotterdam
257,220,G.,van,Herwaarden,,,rotterdam
258,220,J.M.,van,Herwaarden,,,rotterdam
259,220,J.,de,Jong,,,rotterdam
260,220,T.W.,,Korten,,,rotterdam
261,220,D.,,Klouwens,,,rotterdam
262,220,C.,,Lazerus,,,rotterdam
263,221,J.,van,Leenhof,,,rotterdam
264,221,J.,,Vossenaar,,,rotterdam
265,221,J.,van,Weezenbeek,,,rotterdam
266,221,M.C.,de,Wilde,,,rotterdam
267,221,G.,,Roeloffzen,,President,arnhem
268,221,J.W.,de la,Cuisine,,Secretaris,arnhem
269,221,Th.,,Coenders,,Penningmeester,arnhem
270,221,G.C.,van,Schalen,,Commissaris,arnhem
